Year,Rank,Title,Artist,Artist_cloud,count,size,genres,popularity,first_year,year_range,range_count
2016,87,All the Way Up,Fat Joe,Fat~Joe,1,70,"['bronx hip hop', 'dance pop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']",70,1993,1990-2000,72
2012,40,Niggas in Paris,Jay-Z,Jay-Z,2,174,"['east coast hip hop', 'hip hop', 'rap']",87,1993,1990-2000,72
2013,22,Holy Grail,Jay-Z,Jay-Z,2,174,"['east coast hip hop', 'hip hop', 'rap']",87,1993,1990-2000,72
2020,52,Nobody but You,Gwen Stefani,Gwen~Stefani,1,75,"['dance pop', 'pop', 'post-teen pop']",75,1994,1990-2000,72
2016,37,Jumpman,Future,Future,9,828,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",92,1994,1990-2000,72
2016,30,Low Life,Future,Future,9,828,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",92,1994,1990-2000,72
2016,97,Wicked,Future,Future,9,828,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",92,1994,1990-2000,72
2017,14,Mask Off,Future,Future,9,828,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",92,1994,1990-2000,72
2018,79,King's Dead,Future,Future,9,828,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",92,1994,1990-2000,72
2020,7,Life Is Good,Future,Future,9,828,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",92,1994,1990-2000,72
2022,84,Puffin on Zootiez,Future,Future,9,828,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",92,1994,1990-2000,72
2022,48,Pushin P,Future,Future,9,828,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",92,1994,1990-2000,72
2022,11,Wait for U,Future,Future,9,828,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",92,1994,1990-2000,72
2012,76,Come Over,Kenny Chesney,Kenny~Chesney,3,219,"['contemporary country', 'country', 'country road']",73,1994,1990-2000,72
2014,73,American Kids,Kenny Chesney,Kenny~Chesney,3,219,"['contemporary country', 'country', 'country road']",73,1994,1990-2000,72
2018,87,Get Along,Kenny Chesney,Kenny~Chesney,3,219,"['contemporary country', 'country', 'country road']",73,1994,1990-2000,72
2014,85,Can't Remember to Forget You,Shakira,Shakira,1,93,"['colombian pop', 'dance pop', 'latin pop']",93,1994,1990-2000,72
2014,38,Bailando,Enrique Iglesias,Enrique~Iglesias,2,158,"['latin pop', 'mexican pop']",79,1995,1990-2000,72
2015,96,El Perd??n,Enrique Iglesias,Enrique~Iglesias,2,158,"['latin pop', 'mexican pop']",79,1995,1990-2000,72
2013,14,Get Lucky,Daft Punk ,Daft~Punk,1,84,"['electro', 'filter house']",84,1995,1990-2000,72
2013,67,Berzerk,Eminem,Eminem,3,282,"['detroit hip hop', 'hip hop', 'rap']",94,1996,1990-2000,72
2014,16,The Monster,Eminem,Eminem,3,282,"['detroit hip hop', 'hip hop', 'rap']",94,1996,1990-2000,72
2020,62,Godzilla,Eminem,Eminem,3,282,"['detroit hip hop', 'hip hop', 'rap']",94,1996,1990-2000,72
2013,39,Love Me,Lil Wayne,Lil~Wayne,3,264,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",88,1996,1990-2000,72
2014,89,Believe Me,Lil Wayne,Lil~Wayne,3,264,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",88,1996,1990-2000,72
2016,68,Sucker for Pain,Lil Wayne,Lil~Wayne,3,264,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",88,1996,1990-2000,72
2017,100,The Fighter,Keith Urban,Keith~Urban,2,146,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",73,1996,1990-2000,72
2021,81,One Too Many,Keith Urban,Keith~Urban,2,146,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",73,1996,1990-2000,72
2015,96,El Perd??n,Nicky Jam ,Nicky~Jam,2,166,"['latin hip hop', 'reggaeton', 'urbano latino']",83,1996,1990-2000,72
2018,90,X,Nicky Jam ,Nicky~Jam,2,166,"['latin hip hop', 'reggaeton', 'urbano latino']",83,1996,1990-2000,72
2015,68,Chains,Nick Jonas,Nick~Jonas,3,201,"['dance pop', 'pop', 'post-teen pop']",67,1997,1990-2000,72
2015,38,Jealous,Nick Jonas,Nick~Jonas,3,201,"['dance pop', 'pop', 'post-teen pop']",67,1997,1990-2000,72
2016,66,Close,Nick Jonas,Nick~Jonas,3,201,"['dance pop', 'pop', 'post-teen pop']",67,1997,1990-2000,72
2016,87,All the Way Up,Remy Ma,Remy~Ma,1,62,"['alternative r&b', 'bronx hip hop', 'hip pop', 'r&b', 'trap queen', 'urban contemporary']",62,1997,1990-2000,72
2014,15,Turn Down for What,Lil Jon,Lil~Jon,1,74,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop']",74,1997,1990-2000,72
2015,1,Uptown Funk,Mark Ronson,Mark~Ronson,1,77,"['dance pop', 'pop']",77,1998,1990-2000,72
2015,24,Post to Be,Omarion,Omarion,1,63,"['dance pop', 'hip hop', 'hip pop', 'pop r&b', 'r&b', 'southern hip hop', 'urban contemporary']",63,1998,1990-2000,72
2014,95,Partition,Beyonce,Beyonce,5,445,"['dance pop', 'pop', 'r&b']",89,1998,1990-2000,72
2015,61,11-Jul,Beyonce,Beyonce,5,445,"['dance pop', 'pop', 'r&b']",89,1998,1990-2000,72
2016,71,Sorry,Beyonce,Beyonce,5,445,"['dance pop', 'pop', 'r&b']",89,1998,1990-2000,72
2022,38,Break My Soul,Beyonce,Beyonce,5,445,"['dance pop', 'pop', 'r&b']",89,1998,1990-2000,72
2014,35,Drunk in Love,Beyonce,Beyonce,5,445,"['dance pop', 'pop', 'r&b']",89,1998,1990-2000,72
2020,50,Ritmo (Bad Boys for Life),Black Eyed Peas,Black~Eyed~Peas,1,83,"['dance pop', 'pop', 'pop rap']",83,1998,1990-2000,72
2014,21,Let It Go,Idina Menzel,Idina~Menzel,1,72,"['hollywood', 'show tunes']",72,1998,1990-2000,72
2017,2,Despacito (Remix),Luis Fonsi,Luis~Fonsi,1,77,"['latin pop', 'puerto rican pop']",77,1998,1990-2000,72
2018,83,Lemon,N.E.R.D,N.E.R.D,1,60,"['hip hop', 'virginia hip hop']",60,1999,1990-2000,72
2018,79,King's Dead,Jay Rock,Jay~Rock,1,74,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",74,1999,1990-2000,72
2012,47,Gangnam Style,Psy,Psy,2,136,"['k-pop', 'k-rap', 'korean old school hip hop']",68,1999,1990-2000,72
2013,55,Gangnam Style,Psy,Psy,2,136,"['k-pop', 'k-rap', 'korean old school hip hop']",68,1999,1990-2000,72
2014,3,All of Me,John Legend,John~Legend,1,80,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",80,1999,1990-2000,72
2013,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,Anna~Kendrick,1,66,['hollywood'],66,1999,1990-2000,72
2012,69,Paradise,Coldplay,Coldplay,5,450,"['permanent wave', 'pop']",90,1999,1990-2000,72
2014,51,A Sky Full of Stars,Coldplay,Coldplay,5,450,"['permanent wave', 'pop']",90,1999,1990-2000,72
2016,95,Adventure of a Lifetime,Coldplay,Coldplay,5,450,"['permanent wave', 'pop']",90,1999,1990-2000,72
2016,73,Hymn for the Weekend,Coldplay,Coldplay,5,450,"['permanent wave', 'pop']",90,1999,1990-2000,72
2017,5,Something Just Like This,Coldplay,Coldplay,5,450,"['permanent wave', 'pop']",90,1999,1990-2000,72
2013,24,Clarity,Zedd,Zedd,4,308,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house']",77,2000,2000-2010,476
2014,94,Stay the Night,Zedd,Zedd,4,308,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house']",77,2000,2000-2010,476
2017,17,Stay,Zedd,Zedd,4,308,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house']",77,2000,2000-2010,476
2018,8,The Middle,Zedd,Zedd,4,308,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house']",77,2000,2000-2010,476
2012,100,Burn It Down,Linkin Park,Linkin~Park,1,88,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",88,2000,2000-2010,476
2012,62,Back in Time,Pitbull,Pitbull,5,425,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",85,2000,2000-2010,476
2012,48,International Love,Pitbull,Pitbull,5,425,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",85,2000,2000-2010,476
2013,36,Feel This Moment,Pitbull,Pitbull,5,425,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",85,2000,2000-2010,476
2014,11,Timber,Pitbull,Pitbull,5,425,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",85,2000,2000-2010,476
2015,39,Time of Our Lives,Pitbull,Pitbull,5,425,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",85,2000,2000-2010,476
2012,86,5 O'Clock,T-Pain,T-Pain,1,79,"['dance pop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",79,2000,2000-2010,476
2020,16,Roxanne,Arizona Zervas,Arizona~Zervas,1,69,"['pop', 'pop rap', 'rhode island rap', 'viral rap']",69,2000,2000-2010,476
2012,56,Don't Wake Me Up,Chris Brown,Chris~Brown,10,910,"['dance pop', 'r&b']",91,2000,2000-2010,476
2012,84,Turn Up the Music,Chris Brown,Chris~Brown,10,910,"['dance pop', 'r&b']",91,2000,2000-2010,476
2016,89,Back to Sleep,Chris Brown,Chris~Brown,10,910,"['dance pop', 'r&b']",91,2000,2000-2010,476
2014,30,Loyal,Chris Brown,Chris~Brown,10,910,"['dance pop', 'r&b']",91,2000,2000-2010,476
2014,77,New Flame,Chris Brown,Chris~Brown,10,910,"['dance pop', 'r&b']",91,2000,2000-2010,476
2015,86,Ayo,Chris Brown,Chris~Brown,10,910,"['dance pop', 'r&b']",91,2000,2000-2010,476
2019,21,No Guidance,Chris Brown,Chris~Brown,10,910,"['dance pop', 'r&b']",91,2000,2000-2010,476
2020,39,Go Crazy,Chris Brown,Chris~Brown,10,910,"['dance pop', 'r&b']",91,2000,2000-2010,476
2020,36,No Guidance,Chris Brown,Chris~Brown,10,910,"['dance pop', 'r&b']",91,2000,2000-2010,476
2021,19,Go Crazy,Chris Brown,Chris~Brown,10,910,"['dance pop', 'r&b']",91,2000,2000-2010,476
2013,83,Body Party,Ciara,Ciara,1,72,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",72,2000,2000-2010,476
2012,27,Mercy,Kanye West,Kanye~West,2,186,"['chicago rap', 'rap']",93,2000,2000-2010,476
2012,40,Niggas in Paris,Kanye West,Kanye~West,2,186,"['chicago rap', 'rap']",93,2000,2000-2010,476
2013,54,Wagon Wheel,Darius Rucker,Darius~Rucker,1,68,"['black americana', 'contemporary country', 'country', 'country road']",68,2000,2000-2010,476
2017,41,Bad Things,Machine Gun Kelly,Machine~Gun~Kelly,2,164,"['ohio hip hop', 'pop', 'pop rap']",82,2000,2000-2010,476
2021,23,My Ex's Best Friend,Machine Gun Kelly,Machine~Gun~Kelly,2,164,"['ohio hip hop', 'pop', 'pop rap']",82,2000,2000-2010,476
2021,70,Lil Bit,Nelly ,Nelly,1,77,"['dance pop', 'hip hop', 'pop rap', 'southern hip hop', 'st louis rap', 'urban contemporary']",77,2000,2000-2010,476
2014,25,Chandelier,Sia,Sia,4,344,"['australian dance', 'australian pop', 'dance pop', 'pop']",86,2000,2000-2010,476
2015,90,Chandelier,Sia,Sia,4,344,"['australian dance', 'australian pop', 'dance pop', 'pop']",86,2000,2000-2010,476
2015,52,Elastic Heart,Sia,Sia,4,344,"['australian dance', 'australian pop', 'dance pop', 'pop']",86,2000,2000-2010,476
2016,11,Cheap Thrills,Sia,Sia,4,344,"['australian dance', 'australian pop', 'dance pop', 'pop']",86,2000,2000-2010,476
2012,27,Mercy,Pusha T,Pusha~T,1,74,"['alternative hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'virginia hip hop']",74,2001,2000-2010,476
2013,80,Sure Be Cool If You Did,Blake Shelton,Blake~Shelton,4,296,"['contemporary country', 'country', 'country road', 'oklahoma country']",74,2001,2000-2010,476
2019,53,God's Country,Blake Shelton,Blake~Shelton,4,296,"['contemporary country', 'country', 'country road', 'oklahoma country']",74,2001,2000-2010,476
2013,60,Boys 'Round Here,Blake Shelton,Blake~Shelton,4,296,"['contemporary country', 'country', 'country road', 'oklahoma country']",74,2001,2000-2010,476
2020,52,Nobody but You,Blake Shelton,Blake~Shelton,4,296,"['contemporary country', 'country', 'country road', 'oklahoma country']",74,2001,2000-2010,476
2013,45,Summertime Sadness,Cedric Gervais,Cedric~Gervais,1,66,"['edm', 'electro house', 'house']",66,2001,2000-2010,476
2012,29,Party Rock Anthem,LMFAO,LMFAO,2,138,"['dance pop', 'pop', 'pop rap']",69,2001,2000-2010,476
2012,13,Sexy and I Know It,LMFAO,LMFAO,2,138,"['dance pop', 'pop', 'pop rap']",69,2001,2000-2010,476
2016,68,Sucker for Pain,Logic,Logic,3,240,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",80,2001,2000-2010,476
2017,31,1-800-273-8255,Logic,Logic,3,240,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",80,2001,2000-2010,476
2018,84,1-800-273-8255,Logic,Logic,3,240,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",80,2001,2000-2010,476
2013,95,#thatPower,will.i.am,will.i.am,2,150,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",75,2001,2000-2010,476
2013,23,Scream & Shout,will.i.am,will.i.am,2,150,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",75,2001,2000-2010,476
2013,6,Mirrors,Justin Timberlake,Justin~Timberlake,7,574,"['dance pop', 'pop']",82,2001,2000-2010,476
2013,20,Suit & Tie,Justin Timberlake,Justin~Timberlake,7,574,"['dance pop', 'pop']",82,2001,2000-2010,476
2014,78,Love Never Felt So Good,Justin Timberlake,Justin~Timberlake,7,574,"['dance pop', 'pop']",82,2001,2000-2010,476
2014,45,Not a Bad Thing,Justin Timberlake,Justin~Timberlake,7,574,"['dance pop', 'pop']",82,2001,2000-2010,476
2016,9,Can't Stop the Feeling!,Justin Timberlake,Justin~Timberlake,7,574,"['dance pop', 'pop']",82,2001,2000-2010,476
2017,49,Can't Stop the Feeling!,Justin Timberlake,Justin~Timberlake,7,574,"['dance pop', 'pop']",82,2001,2000-2010,476
2018,85,Say Something,Justin Timberlake,Justin~Timberlake,7,574,"['dance pop', 'pop']",82,2001,2000-2010,476
2016,59,For Free,DJ Khaled ,DJ~Khaled,6,480,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2002,2000-2010,476
2017,12,I'm the One,DJ Khaled ,DJ~Khaled,6,480,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2002,2000-2010,476
2017,18,Wild Thoughts,DJ Khaled ,DJ~Khaled,6,480,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2002,2000-2010,476
2018,73,No Brainer,DJ Khaled ,DJ~Khaled,6,480,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2002,2000-2010,476
2020,66,Popstar,DJ Khaled ,DJ~Khaled,6,480,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2002,2000-2010,476
2021,59,Every Chance I Get,DJ Khaled ,DJ~Khaled,6,480,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2002,2000-2010,476
2012,25,I Won't Give Up,Jason Mraz,Jason~Mraz,1,75,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",75,2002,2000-2010,476
2016,69,Down in the DM,Yo Gotti,Yo~Gotti,2,138,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'viral rap']",69,2002,2000-2010,476
2017,53,Rake It Up,Yo Gotti,Yo~Gotti,2,138,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'viral rap']",69,2002,2000-2010,476
2012,67,Pontoon,Little Big Town,Little~Big~Town,2,134,"['contemporary country', 'country', 'country dawn', 'country road']",67,2002,2000-2010,476
2015,63,Girl Crush,Little Big Town,Little~Big~Town,2,134,"['contemporary country', 'country', 'country dawn', 'country road']",67,2002,2000-2010,476
2012,99,Even If It Breaks Your Heart,Eli Young Band,Eli~Young~Band,1,64,"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'pop rock', 'texas country']",64,2002,2000-2010,476
2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly~Clarkson,3,228,"['dance pop', 'pop', 'post-teen pop', 'talent show']",76,2002,2000-2010,476
2013,68,Catch My Breath,Kelly Clarkson,Kelly~Clarkson,3,228,"['dance pop', 'pop', 'post-teen pop', 'talent show']",76,2002,2000-2010,476
2015,91,Heartbeat Song,Kelly Clarkson,Kelly~Clarkson,3,228,"['dance pop', 'pop', 'post-teen pop', 'talent show']",76,2002,2000-2010,476
2012,80,So Good,B.o.B,B.o.B,1,75,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",75,2002,2000-2010,476
2012,24,Titanium,David Guetta ,David~Guetta,4,364,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",91,2002,2000-2010,476
2012,35,Turn Me On,David Guetta ,David~Guetta,4,364,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",91,2002,2000-2010,476
2012,50,Without You,David Guetta ,David~Guetta,4,364,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",91,2002,2000-2010,476
2015,31,Hey Mama,David Guetta ,David~Guetta,4,364,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",91,2002,2000-2010,476
2012,36,Moves like Jagger,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2012,18,One More Night,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2012,4,Payphone,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2013,35,Daylight,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2013,51,Love Somebody,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2013,38,One More Night,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2014,62,Animals,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2014,29,Maps,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2015,46,Animals,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2015,5,Sugar,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2017,69,Cold,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2017,38,Don't Wanna Know,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2017,97,What Lovers Do,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2018,10,Girls Like You,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2018,58,Wait,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2018,89,What Lovers Do,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2019,22,Girls Like You,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2020,8,Memories,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2021,34,Beautiful Mistakes,Maroon 5,Maroon~5,19,1672,['pop'],88,2002,2000-2010,476
2012,27,Mercy,2 Chainz,2~Chainz,3,234,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78,2002,2000-2010,476
2012,54,No Lie,2 Chainz,2~Chainz,3,234,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78,2002,2000-2010,476
2013,99,I'm Different,2 Chainz,2~Chainz,3,234,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78,2002,2000-2010,476
2013,2,Blurred Lines,Robin Thicke,Robin~Thicke,2,132,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",66,2002,2000-2010,476
2014,83,Blurred Lines,Robin Thicke,Robin~Thicke,2,132,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",66,2002,2000-2010,476
2017,50,Mi Gente,Willy William,Willy~William,2,138,['francoton'],69,2003,2000-2010,476
