Year,Rank,Title,Artist,Lyrics
2015,48,Bitch Better Have My Money,Rihanna,"TranslationsEnglishPortuguêsBitch Better Have My Money Lyrics[Intro]
Yayo, yayo
Mula-la
Yayo

[Verse 1]
Bitch better have my money
Y'all should know me well enough
Bitch better have my money
Please don't call me on my bluff
Pay me what you owe me
Ballin' bigger than LeBron
Bitch, give me your money
Who y'all think y'all frontin' on?
[Pre-Chorus]
Like bra, bra, bra
Louis XIII, and it's all on me, nigga, you just bought a shot
Kamikaze, if you think that you gon' knock me off the top
Shit, your wife in the backseat of my brand new foreign car
Don't act like you forgot
I call the shots, shots, shots
Like bra, bra, bra
Pay me what you owe me, don't act like you forgot

[Chorus]
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money

[Verse 2]
Turn up to Rihanna while the whole club fuckin' wasted
Every time I drop by, I am the only thing y'all playin'
In a drop top, doin' hundred, y'all in my rearview mirror racin'
Where y'all at? Where y'all at? Where y'all at? (Where y'all at?)

[Pre-Chorus]
Like bra, bra, bra
Louis XIII, and it's all on me, nigga, you just bought a shot
Kamikaze, if you think that you gon' knock me off the top
Shit, your wife in the backseat of my brand new foreign car
Don't act like you forgot
I call the shots, shots, shots
Like bra, bra, bra
Pay me what you owe me, don't act like you forgot
You might also like[Chorus]
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money
[Outro]
Bitch better have my money
Bitch better have my money
Bitch, bitch, bitch better have my money
Yo, that bitch better have my money
Hold up
My money
Yo, my money
That bitch better have my money
Bitch better have my money780Embed"
2015,49,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,"Flex (Ooh, Ooh, Ooh) Lyrics[Produced by DJ Spinz & Nitti]

[Intro]
Hey, oh, there it is, there it is, there it is
There it is, there it is (Rich Homie, baby!)

[Hook]
Walked in, thirty thousand in my pocket
Had them niggas just like, ""Ooh, ooh, ooh""
50,000 dollars on your bitch, wanna fuck me
Got her screamin' like, ""Ooh, ooh, ooh, ooh""
Cause I got a check, nigga wanna flex
I ain't gotta flex, boy I got it, ooh, ooh, ooh, ooh
Give that ho some x, she gon' wanna sex every nigga in the set
And now she screamin' like ""Ooh, ooh, ooh""

[Verse 1]
(How much you made?) Made two million dollars off a mixtape
And I'm fucking like, ooh, ooh, ooh
They try to drop me with a case but you know I had done skated
I was singing like, ooh, ooh, ohh
Boy, I know my role and I play it
If you heard that I'm talking, then I said it
(Quan where you at?) At the top of the loft nigga, I stay
I'm a bad boy but I don't wear big clothes like Ma$e
In the club and a nigga get it boppin'
And that ho, she want a free drink, tell the bitch to get up off me
I'm the nigga to get it poppin', her hair short like Dennis Rodman
At the Clearport nigga, we flying, when I landed, boy I
You might also like[Hook]
Walked in, thirty thousand in my pocket
Had them niggas just like, ""Ooh, ooh, ooh""
$50,000 on your bitch, wanna fuck me
Got her screamin' like, ""Ooh, ooh, ooh, ooh""
Cause I got a check, nigga wanna flex
I ain't gotta flex, boy I got it, ooh, ooh, ooh, ooh
Give that ho some x, she gon' wanna sex every nigga in the set
And now she screamin' like, ""Ooh, ooh, ooh""

[Verse 2]
(How much you made?) $100,000 just in two days
(Guess what?) I don't fuck with niggas cause they two-faced
(That's right, that's right)
I only fuck with bitches for their toupee (Their top, nigga)
These Givenchys, I ain't worried about no new Jays
Know this bitch who got a sack and she always got my back
So I love that shit the most
I'm her big dog and she my cat, and she love it from the back
Call her green cause she on go (Green light)
I wear glasses cause I know these niggas watchin'
They mad cause they cannot stop me
Boy stopping is not a option, I can't help it cause I got it
Don't waste time, I got six watches
Talkin' Rolex, yeah, I bought 'em
Now I'm at the top, started from the bottom, then I
[Hook]
Walked in, thirty thousand in my pocket
Had them niggas just like, ""Ooh, ooh, ooh""
$50,000 on your bitch, wanna fuck me
Got her screamin' like, ""Ooh, ooh, ooh, ooh""
Cause I got a check, nigga wanna flex
I ain't gotta flex, boy I got it, ooh, ooh, ooh, ooh
Give that ho some x, she gon wanna sex every nigga in the set
And now she screamin' like, ""Ooh, ooh, ooh""

[Outro]
(How much you made?) $100,000
(How much, how much you made?) $100,000
(How much, how much you made?)
Made two million dollars off a mixtape, had them folks like, ""Ooh, ooh, ooh""
Hey, get at me349Embed"
2015,50,Nasty Freestyle,T-Wayne,"Nasty Freestyle Lyrics[Produced by 30 Roc]

[Intro]
Yah, say Roro, you know what it is, right?
Who Is Rickey Wayne?: The Mixtape
Ya feel me? Yah, ahem

[Verse]
First, let me hop out the muh fuckin' Porsche
I don't want her if that ass don't sit like a horse
I be ballin' on these niggas, got me feelin' like sports
Dash got so much wood I could build me a fort
Ain't too many things I ain't done yet
I'm the king of this shit, crown by the toilet
I'm just barely gettin' started, you already upset
Got a tiger as a pet, I just took him to the vet
Homie, I be makin' hits, I'm the rap Derek Jeter
Let your bitch ride on me like she was on the feeder
If the pussy ain't good then I probably won't feed her
Lil homie, you can keep her cause I really don't need her
I ain't worried 'bout features, homeboy, you's a peon
Toilet seat ass nigga, man, I swear you gettin' peed on
Man, my jewelry so cold, I walk around with the heat on
My alarm clock set, just in case they wanna sleep on, ya dig?
I'm a full-time player, hoppin' out in alligator
Sippin' lean and Now and Later, homie, I'll annihilate ya
If you think you wanna battle, you gon' have to pay some paper
I just hit her and I quit her, I would never ever date her
It's a shame how I'm barely gettin' love in the city
Travel to another town, you can bet they fuckin' with me
I be killin' this shit, pray to God they forgive me
They said, ""when you blow up, don't forget me"", man
I been on fire ever since they made the lighter
My boys will pull up on ya, homie, I ain't talkin' diapers
Walk into your function, on point, I'm like a sniper
My girl bad like Dej Loaf so don't try her
Flexin' all you want but homeboy, you ain't ready
Ten times sharper than Michael Myers' machete
Been about the money, I ain't worried 'bout the fame
'Bout to have everybody sayin', ""Who Is Rickey Wayne?""
That me...You might also like1.3KEmbed"
2015,51,Only,"Nicki Minaj feat Drake, Lil Wayne and Chris Brown","Only Lyrics[Verse 1: Nicki Minaj]
Yo, I never fucked Wayne, I never fucked Drake
On my life, man, fuck's sake
If I did, I'd ménage with 'em
And let 'em eat my ass like a cupcake
My man full, he just ate
I don't duck nobody but tape
Yeah, that was a setup
For a punchline on duct tape
Wo-wo-wo-worried 'bout if my butt fake
Worry 'bout y'all niggas, us straight
Th-these girls are my sons
Jo-Jon & Kate Plus Eight
When I walk in, sit up straight
I don't give a fuck if I was late
Dinner with my man on a G5
Is my idea of a update
Hut-hut one, hut-hut two
Big titties, big butt too
Fu-fuck with them real niggas
Who don't tell niggas what they up to
Had to show bitches where the top is
Ri-ring finger where the rock is
The-these hoes couldn't test me
Even if their name was Pop Quiz
Bad bitches who I fuck with
Ma-ma-mad bitches we don't fuck with
I don't fuck with them chickens
Unless they last name is Cutlet
Let it soak in
Like seasoning
And tell them bitches blow me
Lance Stephenson
[Chorus: Chris Brown]
Raise every bottle and cup in the sky
Sparks in the air like the Fourth of July
Nothing but bad bitches in here tonight
Oh, if you lame and you know it, be quiet
Nothing but real niggas only, bad bitches only
Rich niggas only, independent bitches only
Boss niggas only, thick bitches only
I got my real niggas here by my side, only

[Verse 2: Drake]
Yeah, I never fucked Nicki 'cause she got a man
But when that's over, then I'm first in line
And the other day in her Maybach
I thought, ""Goddamn, this is the perfect time""
We had just come from that video
You know, L.A. traffic, how the city slow
She was sitting down on that big butt
But I was still staring at the titties though
Yeah, low-key or maybe high-key
I been peeped that you like me, you know?
Who the fuck you really wanna be with besides me?
I mean, it doesn't take much for us to do this shit quietly
I mean, she say I'm obsessed with thick women and I agree
Yeah, that's right, I like my girls BBW
Yeah, type that wanna suck you dry and then eat some lunch with you
Yeah, so thick that everybody else in the room is so uncomfortable
Ass on Houston Texas, but the face look just like Clair Huxtable
Oh! Yeah, you the man in the city when the mayor fuck with you
The NBA players fuck with you
The bad-ass bitches doing makeup and hair fuck with you, oh
That's 'cause I believe in something, I stand for it
And Nicki if you ever tryna fuck
Just give me the heads-up, so I can plan for it
You might also like[Chorus: Chris Brown & Drake]
Raise every bottle and cup in the sky (Pinkprint, ayy)
Sparks in the air like the Fourth of July
Nothing but bad bitches in here tonight
Oh, if you lame and you know it, be quiet
Nothing but real niggas only, bad bitches only
Rich niggas only, independent bitches only
Boss niggas only, thick bitches only
I got my real niggas here by my side, only

[Verse 3: Lil Wayne]
I never fucked Nick' and that's fucked up
If I did fuck, she'd be fucked up
Whoever is hittin' ain't hittin' it right
'Cause she act like she need dick in her life
That's another story, I'm no story-teller
I piss greatness, like goldish yellow
All my goons so overzealous
I'm from Hollygrove, the holy Mecca
Calendar say I got money for days
I squirm and I shake, but I'm stuck in my ways
My girlfriend will beat a bitch up if she waved
They bet' not fuck with her surfboard, surfboard
My eyes are so bright, I take cover for shade
Don't have my money? Take mothers instead
You got the hiccups, you swallowed the truth
Then I make you burp, boy, treat beef like sirloin
I'm talkin' 'bout runnin' in houses with army guns
So think about your son and daughter rooms
Got two hoes with me, masked up, they got smaller guns
Ain't thinkin' 'bout your son and daughter rooms
This shit is crazy, my nigga
I mean brazy, my nigga
That money talk, I just rephrase it, my nigga
Blood gang, take the ""b"" off behavior, my nigga
For reals, if you mouth off, I blow your face off
I mean ""pop-pop-pop,"" then I take off
Nigga, now you see me, nigga, now you don't
Like Jamie Foxx acting like Ray Charles
Sixteen in a clip, one in the chamber
17 Ward bully with seventeen bullets
My story is how I went from ""poor me""
To ""please pour me a drink and celebrate with me""
[Chorus: Chris Brown & Lil Wayne]
Raise every bottle and cup in the sky
Sparks in the air like the Fourth of July
Nothing but bad bitches in here tonight
Oh, if you lame and you know it, be quiet
Young Mula, baby!
Nothing but real niggas only, bad bitches only
Rich niggas only, independent bitches only
Boss niggas only, thick bitches only
I got my real niggas here by my side, only1.9KEmbed"
2015,52,Elastic Heart,Sia,"TranslationsEspañolPortuguêsElastic Heart Lyrics[Intro]
I won't give up, I won't give up
I won't give up, I won't give up

[Verse 1]
And another one bites the dust
Oh, why can I not conquer love?
And I might have thought that we were one
Wanted to fight this war without weapons
And I wanted it, I wanted it bad
But there were so many red flags
Now another one bites the dust
Yeah, let's be clear, I'll trust no one
[Pre-Chorus]
You did not break me
I'm still fighting for peace

[Chorus]
Well, I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
Yeah, I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart

[Post-Chorus]
I've got an elastic heart
Yeah, I've got an elastic heart

[Verse 2]
And I will stay up through the night
Yeah, let's be clear, won't close my eyes
And I know that I can survive
I'll walk through fire to save my life
And I want it, I want my life so bad
I'm doin' everythin' I can
And another one bites the dust
It's hard to lose a chosen one
You might also like[Pre-Chorus]
You did not break me
I'm still fighting for peace

[Chorus]
Well, I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
Yeah, I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart

[Bridge]
Oh, oh-oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh-oh
Oh, oh-oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh-oh

[Chorus]
Well, I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
Yeah, I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart
Well, I've got thick skin and an elastic heart (Woah, woah)
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard (Woah, woah)
Yeah, I may snap and I move fast
But you won't see me fall apart (Woah, woah)
'Cause I've got an elastic heart (Woah, woah)
[Outro]
I've got an elastic heart31Embed"
2015,53,Cool for the Summer,Demi Lovato,"TranslationsTiếng ViệtPortuguêsCool for the Summer Lyrics[Verse 1]
Tell me what you want, what you like, it's okay
I'm a little curious too
Tell me if it's wrong, if it's right, I don't care
I can keep a secret, can you?

[Pre-Chorus]
Got my mind on your body and your body on my mind
Got a taste for the cherry, I just need to take a bite
Don't tell your mother
Kiss one another
Die for each other
We're cool for the summer (Ha!)
[Break]
Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh

[Chorus]
Take me down into your paradise
Don't be scared, 'cause I'm your body type
Just something that we wanna try
'Cause you and I, we're cool for the summer

[Verse 2]
Tell me if I won, if I did, what's my prize?
I just wanna play with you, too
Even if they judge, fuck it, I'll do the time
I just wanna have some fun with you

[Pre-Chorus]
Got my mind on your body and your body on my mind
Got a taste for the cherry, I just need to take a bite
Don't tell your mother
Kiss one another
Die for each other
We're cool for the summer (Ha!)

[Break]
Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh
You might also like[Chorus]
Take me down into your paradise
Don't be scared, 'cause I'm your body type
Just something that we wanna try (Try)
'Cause you and I (You and I), we're cool for the summer (Ha!)
We're cool for the summer
We're cool for the summer

[Interlude]
Shh...
Don't tell your mother

[Bridge]
Got my mind on your body and your body on my mind
Got a taste for the cherry, I just need to take a bite

[Chorus]
(Take me down) Take me down into your paradise
(Don't be scared) Don't be scared, 'cause I'm your body type
Just something that we wanna try (Wanna try)
'Cause you and I (You and I), we're cool for the summer (Ha!)

[Outro]
(Take me down) We're cool for the summer
(Don't be scared) 'Cause I'm your body type
(Just something) Just something that we wanna try
'Cause you and I (You and I), we're cool for the summer (Ha!)
Ooh-ooh-ooh-ooh-ooh
We're cool for the summer206Embed"
2015,54,Renegades,X Ambassadors,"Renegades Lyrics[Verse 1]
Run away-ay with me (La la la, la la la, la la la)
Lost souls in revelry (Hey, la la la, la la la, la la la)
Running wild and running free (La la la, la la la, la la la)
Two kids, you and me (Hey, la la la, la la la, la la la)

[Chorus]
And I say
Hey, hey hey hey
Livin' like we're renegades
Hey hey hey
Hey hey hey
Livin' like we're renegades
Renegades, renegades
[Verse 2]
Long live the pioneers (La la la, la la la, la la la)
Rebels and mutineers (Hey, la la la, la la la, la la la)
Go forth and have no fear (La la la, la la la, la la la)
Come close and lend an ear (Hey, la la la, la la la, la la la)

[Chorus]
And I say
Hey, hey hey hey
Livin' like we're renegades
Hey hey hey
Hey hey hey
Livin' like we're renegades
Renegades, renegades

[Verse 3]
All hail the underdogs
All hail the new kids
All hail the outlaws (Hey)
Spielbergs and Kubricks

[Verse 4]
It's our time to make a move
It's our time to make amends
It's our time to break the rules (Hey)
Let's begin
You might also like[Chorus]
And I say
Hey, hey hey hey
Livin' like we're renegades
Hey hey hey
Hey hey hey
Livin' like we're renegades
Renegades, renegades45Embed"
2015,55,I Don't Mind,Usher feat Juicy J,"I Don’t Mind Lyrics[Intro: Usher]
Yeah
Ursher, baby
This is for the A

[Chorus: Usher]
Shawty, I don’t mind
If you dance on a pole, that don’t make you a ho
Shawty, I don’t mind
When you work until three, if you’re leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes, long as you coming home
Girl, I don’t mind
[Verse 1: Usher]
The ballers in here tonight, they gon’ buy a hundred bottles
As soon as you shake it I know they gon’ make it colossal in here
'Cause shawty you thinkin’ them tricks that you do with your body
Got all of these niggas they crowding around you like they seen Beyonce in here (she here, she here!)
You want your own and you need your own, baby, who am I to judge?
'Cause how could I ever trip about it when I met you in the club?
I make enough for the both of us, but you dance anyway
You know I was raised in the A

[Chorus: Usher]
Shawty, I don’t mind
If you dance on a pole, that don’t make you a ho
Shawty, I don’t mind
When you work until three, if you’re leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes, long as you coming home
Girl, I don’t mind

[Verse 2: Usher]
When you get off of work I’ll be ready to go in the ‘Rari
And when we get home we’ll have us our own private party in here
So I don’t worry at all about the things they do or say
I love you anyway
You can twerk while in a split, you racking up them tips
Your body rock and your booty poppin’, I’m proud to call you my bitch
They be lookin’, but they can’t touch you, shawty, I’m the only one to get it
So just go ahead and keep doing what you doing
See Usher LiveGet tickets as low as $51You might also like[Chorus: Usher]
Shawty, I don’t mind
If you dance on a pole, that don’t make you a ho
Shawty, I don’t mind
When you work until three, if you’re leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes, long as you coming home
Girl, I don’t mind

[Verse 3: Juicy J]
(It's ya boy, Juicy J)
I’m just tryna cut her up, tryna bust a nut
Tryna take somebody bitch, turn her to a slut
Tryna fill my cup, tryna live it up
Throw some hundreds on that ass, walk her out the club
(Yeah, ho) Lap dance for the first date
Bet I threw a few bands, that’s third base
It’s okay if you work late
We can still party like it’s your birthday
We can still party hard in your birthday suit
Knock that pussy out the park like my name Babe Ruth
Shawty she just want a tip, I just want to see her strip
If you fuck me like you love me shawty you might get rich
Have her own cake, her own place
Blow her own gas, no Rolaid
When we in the bed she like to roleplay
Tell her friend to join in both ways
[Chorus: Usher]
Shawty, I don’t mind
If you dance on a pole, that don’t make you a ho
Shawty, I don’t mind
When you work until three, if you’re leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes, long as you coming home
Girl, I don’t mind183Embed"
2015,56,Love Me Harder,Ariana Grande and The Weeknd,"TranslationsFrançaisLove Me Harder Lyrics[Verse 1: Ariana Grande]
Tell me something I need to know
Then take my breath and never let it go
If you just let me invade your space
I’ll take the pleasure, take it with the pain

[Pre-Chorus: Ariana Grande]
And if in the moment, I bite my lip
Baby, in that moment, you’ll know this is
Something bigger than us and beyond bliss
Give me a reason to believe it
[Chorus: Ariana Grande]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (Lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder

[Verse 2: The Weeknd]
I know your motives and you know mine
The ones that love me, I tend to leave behind
If you know about me and choose to stay
Then take this pleasure and take it with the pain

[Pre-Chorus: The Weeknd]
And if in the moment you bite your lip
When I get you moaning, you know it's real
Can you feel the pressure between your hips?
I’ll make it feel like the first time

[Chorus: Ariana Grande, The Weeknd]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder (I'ma love you harder, hey!)
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (Love me, baby, love me) (Lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder (Oh)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder (You gotta love me harder)
You might also like[Bridge: The Weeknd, Ariana Grande]
So what do I do if I can’t figure it out? (Figure it out)
You got to try, try, try again, yeah (Oh whoa)
So what do I do if I can’t figure it out? (Figure it out)
I’m gonna leave, leave, leave again

[Chorus: Ariana Grande, The Weeknd, Both]
'Cause if you want to keep me (Hey!)
You gotta, gotta, gotta, gotta
Got to love me harder (I'ma love you, love you, love)
And if you really need me (Ooh)
You gotta, gotta, gotta, gotta
Got to love me harder (Got to love me, baby)
'Cause if you want to keep me (Hey)
You gotta, gotta, gotta, gotta
Got to love me harder (Love me harder, love me harder)
And if you really need me
You gotta, gotta, gotta, gotta (I'ma do it, do it, do it)
Got to love me harder (I'ma love you harder, hey!)

[Outro: Ariana Grande, The Weeknd]
Ooh-ooh-ooh-ooh
Love me, love me, love me (Love me)
Ooh-ooh-ooh-ooh
Harder, harder, harder (Boy, you gotta love me, love me, baby)
Ooh-ooh-ooh-ooh
Love me, love me, love me (Just a little bit harder, harder, baby)
Ooh-ooh-ooh-ooh
Harder, harder, harder527Embed"
2015,57,Wildest Dreams,Taylor Swift,"TranslationsTürkçeEspañolPortuguêsPolski日本語MagyarWildest Dreams Lyrics[Verse 1]
He said, ""Let's get out of this town
Drive out of the city, away from the crowds""
I thought, ""Heaven can't help me now""
Nothing lasts forever
But this is gonna take me down

[Pre-Chorus]
He's so tall and handsome as hell
He's so bad, but he does it so well
I can see the end as it begins
My one condition is
[Chorus]
Say you'll remember me
Standin' in a nice dress
Starin' at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah, ha
Wildest dreams, ah, ha

[Verse 2]
I said, ""No one has to know what we do""
His hands are in my hair, his clothes are in my room
And his voice is a familiar sound
Nothin' lasts forever
But this is gettin' good now

[Pre-Chorus]
He's so tall and handsome as hell
He's so bad, but he does it so well
And when we've had our very last kiss
My last request is

[Chorus]
Say you'll remember me
Standin' in a nice dress
Starin' at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah, ha
Wildest dreams, ah, ha
See Taylor Swift LiveGet tickets as low as $250You might also like[Bridge]
You'll see me in hindsight
Tangled up with you all night
Burnin' it down
Someday, when you leave me
I bet these memories
Follow you around
You'll see me in hindsight
Tangled up with you all night
Burnin' (Burnin') it (It) down (Down)
Someday, when you leave me
I bet these memories
Follow (Follow) you (You) around
(Follow you around)

[Breakdown]
Say you'll remember me
Standing in a nice dress
Starin' at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just pretend

[Chorus]
Say you'll remember me
Standin' in a nice dress
Starin' at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your (Just pretend, just pretend)
Wildest dreams, ah, ha (Ah)
In your wildest dreams, ah, ha
Even if it's just in your
In your wildest dreams, ah, ha
In your wildest dreams, ah, ha277Embed"
2015,58,Stay with Me,Sam Smith,"TranslationsFrançaisStay With Me Lyrics[Verse 1]
Guess it's true, I'm not good at a one-night stand
But I still need love 'cause I'm just a man
These nights never seem to go to plan
I don't want you to leave, will you hold my hand?
[Chorus]
Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me
[Verse 2]
Why am I so emotional?
No, it's not a good look, gain some self-control
And deep down, I know this never works
But you can lay with me so it doesn't hurt
[Chorus]
Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me

[Interlude]
Oooh, oooh
Oooh, oooh

[Chorus]
Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me
[Chorus]
Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with meYou might also like458Embed"
2015,59,You Know You Like It,DJ Snake and AlunaGeorge,"You Know You Like It Lyrics[Intro]
Drives you insane

[Verse 1]
Some people want me to be heads or tails
I say no way, try again, another day
I should be happy, not tipping the scales
I just won't play letting my life get away

[Pre-Chorus]
I'm no fool, no, I'm not a follower
I don't take things as they come
If they bring me down
Life can be cruel if you're a dreamer
I just wanna have some fun
Don't tell me what could be done
[Chorus]
You know you like it, but it drives you insane
You know you like it, but it drives you insane
You know you like it, but you're scared of the shame
What you want, what you gonna do?
You know you like it, but it drives you insane
Follow me 'cause you know that you wanna feel the same
You know you like it, but it drives you insane
(What you want, what you gonna do?)

[Drop]
Drives you insane
Drives you insane

[Verse 2]
If you wanna train me like an animal
Better keep your eye on my every move
There's no need to be so damn cruel
Baby, you got nothing to prove

[Pre-Chorus]
I'm no fool, no, I'm not a follower
I don't take things as they come
If they bring me down
Life can be cruel if you're a dreamer
I just wanna have some fun
Don't tell me what could be done
You might also like[Chorus]
You know you like it, but it drives you insane
You know you like it, but it drives you insane
You know you like it, but you're scared of the shame
What you want, what you gonna do?
You know you like it, but it drives you insane
Follow me 'cause you know that you wanna feel the same
You know you like it, but it drives you insane
(What you want, what you gonna do?)

[Drop]
Drives you insane
Drives you insane

[Bridge]
Drives you insane
Drives you insane
(Drive)

[Drop]
Drives you insane
Drives you insane
Drives you insane
Drives you insane44Embed"
2015,60,Uma Thurman,Fall Out Boy,"Uma Thurman Lyrics[Intro]
I can move mountains
I can work a miracle, work a miracle
Ooh, oh, oh, I'll keep you like an oath
May nothing but death do us apart
[Chorus]
She wants to dance like Uma Thurman
Bury me 'til I confess
She wants to dance like Uma Thurman
And I can't get you out of my head
[Verse 1]
The stench, the stench of summer sex
And CK Eternity - oh Hell yes
Divide me down to the smallest I can be
Put your, put your v-v-v-venom in me

[Pre-Chorus]
I can move mountains
I can work a miracle, work a miracle
Ooh, oh, oh, I'll keep you like an oath
May nothing but death do us apart
[Chorus]
She wants to dance like Uma Thurman
Bury me 'til I confess
She wants to dance like Uma Thurman
And I can't get you out of my head

[Verse 2]
The blood, the blood, the blood of the lamb
Is worth two lions but here I am
And I slept in last night's clothes and tomorrow's dreams
But they're not quite what they seem

[Pre-Chorus]
I can move mountains
I can work a miracle, work a miracle
Ooh, oh, oh, I'll keep you like an oath
May nothing but death do us apart
You might also like[Bridge]
You'll find your way
And may death find you alive
Take me down the line
In Gem City we turn the tide
You'll find your way
And may death find you alive
Take me down the line
In Gem City we turn the tide
[Chorus]
She wants to dance like Uma Thurman
Bury me 'til I confess
She wants to dance like Uma Thurman
And I can't get you out of my head

[Outro]
I can move mountains
I can work a miracle, work a miracle
Ooh, oh, oh I'll keep you like an oath
May nothing but death do us apart
I can move mountains
I can work a miracle, work a miracle
Ooh, oh, oh I'll keep you like an oath
May nothing but death do us apart136Embed"
